page_index,url,matches,total_gt_keywords,ratio,matched_stems
85,http://ruoka.fi/reseptit/kokonaisena-paistettu-sisafilee-hasselbackan-perunat-ja-rakuunaporkkanat,5,10,5/6,"hasselback,kokonais,paistetu,perun,rakuunaporkkan"
0,http://ruoka.fi/blogit/mukana-maku/afrikan-lampoa-kana-paprika-tagine,4,11,4/5,"afrik,kana,paprik,tag"
10,http://ruoka.fi/mukana-maku/blogit/mukana-maku/afrikan-lampoa-kana-paprika-tagine,4,11,4/5,"afrik,kana,paprik,tag"
8,http://ruoka.fi/juomat/testissa-alkoholittomat-juhlajuomat,3,6,3/4,"juhlajuom,juoma,test"
12,http://ruoka.fi/mukana-maku/blogit/mukana-maku/chicken-tikka-masala,3,11,3/3,"chick,masal,tik"
76,http://ruoka.fi/reseptit/karamellisoidut-omenat-hunajan-ja-sinihomejuuston-kera,3,8,3/5,"karamellisoidu,omen,sinihomejuusto"
47,http://ruoka.fi/reseptit/grillattua-bataattia-parsaa-ja-tofua,3,7,3/4,"bataat,pars,tofu"
18,http://ruoka.fi/mukana-maku/blogit/mukana-maku/helppo-broileri-kaalikeitto,3,7,3/3,"broiler,helpo,kaalikeito"
13,http://ruoka.fi/mukana-maku/blogit/mukana-maku/chorizo-jauhelihapihvit,2,9,2/2,"chorizo,jauhelihapihv"
19,http://ruoka.fi/mukana-maku/blogit/mukana-maku/hunaja-punaviini-marinoidut-broilerin-grillileikkeet,2,6,2/5,"broiler,punav"
3,http://ruoka.fi/juhlat/6-herkullista-voileipakakkua-nailla-kakuilla-hurmaat-vieraasi,2,6,2/8,"juhl,kaku"
16,http://ruoka.fi/mukana-maku/blogit/mukana-maku/frozen-yogurt-tuli-jaadakseen,2,10,2/4,"froze,yogurt"
30,http://ruoka.fi/mukana-maku/blogit/mukana-maku/simon-jauhelihapihvit-sekavihannes-spagetti-ja-kastike,2,14,2/5,"jauhelihapihv,spaget"
35,http://ruoka.fi/pippurimylly/blogit/pippurimylly/halloumi-punakaaliburgerit,2,5,2/3,"halloum,pippurimyly"
34,http://ruoka.fi/pippurimylly/blogit/pippurimylly/bulgur-kasvispaella,2,5,2/3,"bulgur,pippurimyly"
44,http://ruoka.fi/reseptit/gluteeniton-lehtikaali-juustopiirakka,2,4,2/3,"gluteenito,lehtikaal"
36,http://ruoka.fi/reseptit/ankanrintaa-ja-appelsiinikastiketta-seka-olkiperunoita,2,8,2/4,"ankanrint,appelsiinikastik"
14,http://ruoka.fi/mukana-maku/blogit/mukana-maku/chorizo-pasta,2,7,2/2,"chorizo,pas"
11,http://ruoka.fi/mukana-maku/blogit/mukana-maku/bratwurst-pasta,2,7,2/2,"bratwurst,pas"
15,http://ruoka.fi/mukana-maku/blogit/mukana-maku/erittain-punainen-palapaisti-chorizo,2,7,2/4,"chorizo,palapai"
53,http://ruoka.fi/reseptit/helppo-tabbouleh-salaatti,2,6,2/3,"salaat,tabbouleh"
65,http://ruoka.fi/reseptit/intialainen-siika,2,8,2/2,"intialain,siika"
78,http://ruoka.fi/reseptit/kasvispiiraat-samosat,2,8,2/2,"kasvispiir,samos"
74,http://ruoka.fi/reseptit/kanavartaat-sataykastikkeessa,2,7,2/2,"kanavart,sataykastik"
64,http://ruoka.fi/reseptit/intialainen-lohicurry,2,7,2/2,"intialain,lohicury"
60,http://ruoka.fi/reseptit/hoyrytetyt-dim-sum-nyytit,2,8,2/4,"dim,sum"
63,http://ruoka.fi/reseptit/intialainen-linssi-kasviscurry,2,7,2/3,"intialain,lins"
66,http://ruoka.fi/reseptit/intialaiset-lammasvartaat,2,7,2/2,"intialais,lammasvart"
37,http://ruoka.fi/reseptit/arancini-eli-taytetyt-riisipallot,2,7,2/4,"aranc,riisipalo"
43,http://ruoka.fi/reseptit/focaccia-punajuuresta,2,7,2/2,"focac,punajuur"
40,http://ruoka.fi/reseptit/chilen-siika,2,7,2/2,"chile,siika"
2,http://ruoka.fi/blogit/mukana-maku/riisinkeitin,1,7,1/1,riisinkeit
31,http://ruoka.fi/mukana-maku/blogit/mukana-maku/taytelainen-lohikeitto,1,6,1/2,lohikeito
7,http://ruoka.fi/juomat/cavat-espanjasta-kuohuviinit-testissa,1,11,1/5,cava
4,http://ruoka.fi/juhlat/menut/tervetuloa-pizzalle,1,8,1/4,piz
6,http://ruoka.fi/juomat/cava-ja-tapakset,1,6,1/3,cava
99,http://ruoka.fi/reseptit/mausteoljyt-ja-etikat,1,6,1/2,etik
97,http://ruoka.fi/reseptit/marokkolainen-sitruunakana,1,7,1/2,marokkolain
98,http://ruoka.fi/reseptit/maukas-siikaleipa,1,6,1/2,siikalei
89,http://ruoka.fi/reseptit/kuharullat-kasvisten-kera,1,5,1/3,kuharul
91,http://ruoka.fi/reseptit/lammittava-katkarapukeitto-aasialaisittain,1,6,1/3,katkarapukeito
90,http://ruoka.fi/reseptit/lammin-brie-karamelliomenoiden-kanssa,1,6,1/4,brie
94,http://ruoka.fi/reseptit/limemarinoidut-siikafileet-ja-parsa-perunapaistos,1,5,1/4,siikafil
92,http://ruoka.fi/reseptit/liha-makaronilaatikko,1,4,1/2,makaronilaatiko
82,http://ruoka.fi/reseptit/kinkku-juustopiiras,1,7,1/2,kinku
87,http://ruoka.fi/reseptit/kookos-kaneliriisipuuro-ja-puolukoita,1,8,1/3,kookos
26,http://ruoka.fi/mukana-maku/blogit/mukana-maku/raikas-kirjolohipasta,1,8,1/2,kirjolohip
24,http://ruoka.fi/mukana-maku/blogit/mukana-maku/mausteinen-uuniriisi,1,10,1/2,uunir
22,http://ruoka.fi/mukana-maku/blogit/mukana-maku/jambalaya,1,10,1/1,jambalaya
25,http://ruoka.fi/mukana-maku/blogit/mukana-maku/nutella-kotijaatelo,1,6,1/2,nute
28,http://ruoka.fi/mukana-maku/blogit/mukana-maku/riisinkeitin,1,7,1/1,riisinkeit
27,http://ruoka.fi/mukana-maku/blogit/mukana-maku/resepti-testissa-helppo-pikaleipa,1,9,1/3,helpo
55,http://ruoka.fi/reseptit/herkkusieni-selleripiirakka,1,6,1/2,herkkusie
61,http://ruoka.fi/reseptit/hurmaava-hernesosekeitto,1,4,1/2,hernesosekeito
57,http://ruoka.fi/reseptit/hernesosekeitto-creme-ninon,1,7,1/3,hernesosekeito
52,http://ruoka.fi/reseptit/helpot-teeleivat,1,7,1/2,teeleiv
54,http://ruoka.fi/reseptit/helppo-tillipesto,1,5,1/2,tillipesto
50,http://ruoka.fi/reseptit/hauki-rapumureke,1,6,1/2,hauki
75,http://ruoka.fi/reseptit/kantarelli-kasvispannu,1,4,1/2,kantarel
83,http://ruoka.fi/reseptit/kinkku-perunamunakas,1,5,1/2,kinku
69,http://ruoka.fi/reseptit/jauheliha-hapankaalipiirakka,1,6,1/2,jauhelih
71,http://ruoka.fi/reseptit/kahden-kalan-carpaccio,1,7,1/3,carpacio
72,http://ruoka.fi/reseptit/kala-parsapiirakka,1,8,1/2,parsapiirak
73,http://ruoka.fi/reseptit/kampasimpukoita-ja-serranokinkkua,1,8,1/2,serranokinku
46,http://ruoka.fi/reseptit/grillattu-inkivaarilammas,1,9,1/2,grillatu
42,http://ruoka.fi/reseptit/focaccia-leipa,1,6,1/2,focac
41,http://ruoka.fi/reseptit/chorizo-lammaspyorykat,1,8,1/2,chorizo
38,http://ruoka.fi/reseptit/bangkok-express-pizza,1,8,1/3,piz
86,http://ruoka.fi/reseptit/kolmen-kupin-kanansiivet,1,8,1/3,kanansiiv
70,http://ruoka.fi/reseptit/kaali-kurpitsapiirakka-ja-puolukkashotti,1,7,1/3,kaali
79,http://ruoka.fi/reseptit/katkarapu-parsapiiras,1,6,1/2,katkarapu
80,http://ruoka.fi/reseptit/keitettya-parsaa-ja-korvasienikastiketta,1,5,1/3,pars
32,http://ruoka.fi/mukana-maku/blogit/mukana-maku/vaniljajaatelo,0,7,0/1,
33,http://ruoka.fi/mukana-maku/blogit/muscovado-nautaa-padassa/,0,6,0/3,
9,http://ruoka.fi/leivonta/leivo-italialaista-leipaa-kotona-nappaa-vinkit-focaccian-tekoon,0,7,0/9,
17,http://ruoka.fi/mukana-maku/blogit/mukana-maku/grillattu-broilerinleike-korma,0,7,0/3,
5,http://ruoka.fi/juhlat/menut/yo-juhlien-tarjottavat-kokoa-japanilaistyylinen-menu,0,10,0/6,
1,http://ruoka.fi/blogit/mukana-maku/jaatelokonekesa,0,9,0/1,
29,http://ruoka.fi/mukana-maku/blogit/mukana-maku/savuinen-pastakastike,0,7,0/2,
21,http://ruoka.fi/mukana-maku/blogit/mukana-maku/jaatelokonekesa,0,9,0/1,
20,http://ruoka.fi/mukana-maku/blogit/mukana-maku/italialaiset-jattilihapullat,0,10,0/2,
23,http://ruoka.fi/mukana-maku/blogit/mukana-maku/lihapullacurry,0,8,0/1,
45,http://ruoka.fi/reseptit/gluteeniton-sienipiirakka,0,8,0/2,
39,http://ruoka.fi/reseptit/bengalin-lihacurry,0,6,0/2,
67,http://ruoka.fi/reseptit/itamainen-sieni-pinaattipiirakka,0,4,0/3,
62,http://ruoka.fi/reseptit/inkivaari-limebrulee,0,7,0/2,
58,http://ruoka.fi/reseptit/hirvikauden-keitinpiiraat,0,8,0/2,
59,http://ruoka.fi/reseptit/horiatiki-maalaissalaatti,0,6,0/2,
56,http://ruoka.fi/reseptit/herkulliset-leipatikut,0,8,0/2,
48,http://ruoka.fi/reseptit/hallikauppiaan-leipakaaro-pekingin-tapaan,0,6,0/4,
49,http://ruoka.fi/reseptit/hapattimella-valmistettu-hiivaton-reikaleipa,0,7,0/4,
51,http://ruoka.fi/reseptit/heinakasaperunat-pekingin-tapaan,0,9,0/3,
81,http://ruoka.fi/reseptit/kiinalainen-lihavokki,0,7,0/2,
77,http://ruoka.fi/reseptit/karitsanpotkaa-padassa-marokon-tapaan,0,6,0/4,
68,http://ruoka.fi/reseptit/itamainen-sobanuudelisalaatti,0,8,0/2,
84,http://ruoka.fi/reseptit/kofta-korma-lihapyorykat,0,7,0/3,
88,http://ruoka.fi/reseptit/kookos-limettinugetit,0,6,0/2,
93,http://ruoka.fi/reseptit/liha-sienipiirakka,0,7,0/2,
95,http://ruoka.fi/reseptit/lohicarpaccio-ja-vaaleaa-balsamicokastiketta,0,5,0/3,
96,http://ruoka.fi/reseptit/malesialainen-munacurry,0,6,0/2,
