page_index,total_gt,found_gt,coverage_rate,avg_tags_per_gt,multi_tag_gt_count,multi_tag_pct
0,11,11,1.0,2.6363636363636362,8,72.72727272727273
1,9,9,1.0,2.3333333333333335,8,88.88888888888889
2,7,7,1.0,2.5714285714285716,5,71.42857142857143
3,6,6,1.0,2.1666666666666665,3,50.0
4,8,8,1.0,1.5,2,25.0
5,10,10,1.0,1.3,3,30.0
6,6,6,1.0,2.3333333333333335,5,83.33333333333334
7,11,10,0.9090909090909091,3.0,9,90.0
8,6,6,1.0,2.1666666666666665,4,66.66666666666666
9,7,6,0.8571428571428571,1.6666666666666667,2,33.33333333333333
10,11,11,1.0,2.6363636363636362,8,72.72727272727273
11,7,7,1.0,2.857142857142857,7,100.0
12,11,11,1.0,2.8181818181818183,8,72.72727272727273
13,9,9,1.0,3.111111111111111,7,77.77777777777779
14,7,7,1.0,2.5714285714285716,5,71.42857142857143
15,7,7,1.0,2.7142857142857144,7,100.0
16,10,10,1.0,2.6,9,90.0
17,7,6,0.8571428571428571,1.6666666666666667,4,66.66666666666666
18,7,7,1.0,3.0,7,100.0
19,6,6,1.0,2.5,4,66.66666666666666
20,10,10,1.0,1.8,6,60.0
21,9,9,1.0,2.3333333333333335,8,88.88888888888889
22,10,10,1.0,2.4,9,90.0
23,8,8,1.0,2.0,6,75.0
24,10,10,1.0,2.4,8,80.0
25,6,6,1.0,2.8333333333333335,6,100.0
26,8,8,1.0,2.125,6,75.0
27,9,9,1.0,1.6666666666666667,5,55.55555555555556
28,7,7,1.0,2.5714285714285716,5,71.42857142857143
29,7,7,1.0,2.142857142857143,7,100.0
30,14,14,1.0,2.7857142857142856,11,78.57142857142857
31,6,6,1.0,2.8333333333333335,5,83.33333333333334
32,7,7,1.0,2.2857142857142856,7,100.0
33,6,6,1.0,1.8333333333333333,4,66.66666666666666
34,5,5,1.0,3.2,5,100.0
35,5,5,1.0,2.8,5,100.0
36,9,9,1.0,2.6666666666666665,6,66.66666666666666
37,7,7,1.0,2.2857142857142856,5,71.42857142857143
38,8,8,1.0,2.375,5,62.5
39,6,6,1.0,1.5,3,50.0
40,8,8,1.0,1.875,3,37.5
41,8,8,1.0,1.5,3,37.5
42,6,6,1.0,1.6666666666666667,3,50.0
43,7,7,1.0,2.0,4,57.14285714285714
44,4,4,1.0,2.5,2,50.0
45,8,8,1.0,1.25,2,25.0
46,9,9,1.0,1.7777777777777777,3,33.33333333333333
47,7,7,1.0,2.5714285714285716,3,42.857142857142854
48,6,6,1.0,1.6666666666666667,2,33.33333333333333
49,7,7,1.0,1.0,0,0.0
50,7,7,1.0,2.0,4,57.14285714285714
51,9,9,1.0,1.1111111111111112,1,11.11111111111111
52,7,7,1.0,1.4285714285714286,1,14.285714285714285
53,6,6,1.0,2.3333333333333335,3,50.0
54,6,6,1.0,1.8333333333333333,2,33.33333333333333
55,6,6,1.0,1.5,2,33.33333333333333
56,8,8,1.0,1.25,1,12.5
57,7,7,1.0,1.5714285714285714,3,42.857142857142854
58,9,9,1.0,1.4444444444444444,3,33.33333333333333
59,6,5,0.8333333333333334,1.2,1,20.0
60,8,7,0.875,2.2857142857142856,3,42.857142857142854
61,4,4,1.0,2.0,3,75.0
62,7,5,0.7142857142857143,1.8,2,40.0
63,7,7,1.0,2.5714285714285716,5,71.42857142857143
64,7,7,1.0,1.8571428571428572,4,57.14285714285714
65,9,9,1.0,2.2222222222222223,4,44.44444444444444
66,7,7,1.0,2.142857142857143,5,71.42857142857143
67,4,4,1.0,2.0,3,75.0
68,8,8,1.0,1.875,5,62.5
69,6,6,1.0,2.3333333333333335,3,50.0
70,7,7,1.0,2.142857142857143,3,42.857142857142854
71,7,7,1.0,1.5714285714285714,2,28.57142857142857
72,8,8,1.0,1.625,3,37.5
73,8,8,1.0,1.75,2,25.0
74,7,7,1.0,2.2857142857142856,4,57.14285714285714
75,4,4,1.0,2.0,2,50.0
76,8,8,1.0,2.625,3,37.5
77,6,6,1.0,1.3333333333333333,2,33.33333333333333
78,8,8,1.0,1.5,2,25.0
79,6,6,1.0,1.8333333333333333,3,50.0
80,5,5,1.0,2.0,2,40.0
81,7,7,1.0,1.1428571428571428,1,14.285714285714285
82,7,7,1.0,1.8571428571428572,3,42.857142857142854
83,5,5,1.0,2.0,2,40.0
84,7,7,1.0,1.2857142857142858,2,28.57142857142857
85,10,10,1.0,3.2,7,70.0
86,8,8,1.0,1.75,4,50.0
87,8,8,1.0,1.875,4,50.0
88,6,6,1.0,2.3333333333333335,4,66.66666666666666
89,5,5,1.0,1.8,2,40.0
90,6,6,1.0,2.5,3,50.0
91,6,6,1.0,1.5,1,16.666666666666664
92,4,4,1.0,1.75,2,50.0
93,7,7,1.0,1.4285714285714286,2,28.57142857142857
94,5,5,1.0,1.8,1,20.0
95,5,5,1.0,1.0,0,0.0
96,6,6,1.0,1.3333333333333333,1,16.666666666666664
97,7,7,1.0,1.5714285714285714,3,42.857142857142854
98,6,6,1.0,1.3333333333333333,1,16.666666666666664
99,6,6,1.0,1.6666666666666667,3,50.0
